Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.45797598627783,1.07072414764754,1.19877334820149,1.23966942148761,1.27891156462591,1.58516926383662,3.01507537688433,2.77278562259309,4.27179615288544,5.46238620028745,5.83825533848245,4.29276668813068,3.27227824655272,6.17776006377044,11.0548048048047,9.14314686496539,5.74481263549081,6.5016839947284,7.63096383885606,11.2544711292794,13.5492019749685,10.3347153402771,6.13142700027493,3.21243523316069,4.30053547523424,3.54564415209365,1.89804772234276,3.6645632175169,4.07774110744403,4.82700303008954,5.39795643990325,4.23496396453849,3.02881967814969,2.95165696638559,2.60744159215457,2.80541968853654,2.93120419993445,2.33768993730738,1.55227909874361,2.18802719697358,3.37685727149929,2.82617111885407,1.58603162650601,2.27009497336115,2.67723669309172,3.3927468454955,3.22594410070406,2.85267248150136,3.83910029665096,-0.355546266299717,1.64004344238988,3.15684156862202,2.06933726526057,1.46483265562717,1.62222297740827,0.118627135552451,1.26158320570527,2.1301100036598,2.44258329692807,1.81221007526012,1.23358439630638,4.69785886363742,8.00279982052121,4.11633838374488
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,1.35015389642182,1.24463471200129,1.08838601136843,1.50393967901161,1.91982581124735,2.89877853468337,3.15127936555442,4.36718824053682,4.95848844957479,5.26272847566874,5.06980750726423,4.32612666024035,5.4799234412211,8.99869300901824,9.26279066315271,5.50349191279594,6.21333271642577,7.03393065562001,8.29672198172402,9.03310538792248,9.46216408749201,6.17840414954172,3.91690878504356,3.60787931289983,3.16252525583639,2.01389253563396,2.47738846679574,3.52749985937888,3.92075948089523,3.74332909937958,3.3818113361103,2.27885434592147,2.37032483639894,2.13519841812374,2.09668848657614,1.83076455933455,1.72444795356148,1.12386562495534,1.41509811709537,2.26519517669861,2.25168991597403,1.55399465961345,1.9743147047601,2.68908760322005,3.13545455674655,3.08383673352866,2.70925848658695,1.92670969899538,0.61678071512577,1.21528668186946,2.06310947543149,1.8621649281277,1.70188036067233,1.74161805258845,0.928042794757729,0.950322479212474,1.79080328454668,2.29089027511688,1.67850787434747,1.3206183953191,4.584745358897,7.04102594330236,3.64499524971842
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 06/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
